yyyymmdd,data,ano,year,month,day,time,time_difference,ltm,fil,fil_norm
20151206,16.6,-2.661290322580644,2015,12,6,78866,1.0,19.261290322580646,-2.4458919557673817,-1.6818116195013213
20151207,17.3,-1.8462998102466806,2015,12,7,78867,1.0,19.14629981024668,-2.5430305732736045,-1.748604780678796
20151208,18.0,-1.0159392789373811,2015,12,8,78868,1.0,19.01593927893738,-2.0654137032715485,-1.4201922358216001
20151209,17.7,-1.2085388994307422,2015,12,9,78869,1.0,18.90853889943074,-1.1736282873484536,-0.8069946368578623
20151210,19.3,0.504743833017077,2015,12,10,78870,1.0,18.795256166982924,-0.1659866672306617,-0.11413353928924552
20151211,19.900000000000002,1.2248576850094892,2015,12,11,78871,1.0,18.675142314990513,0.6165509566062887,0.4239445493044209
20151212,20.0,1.4542694497153654,2015,12,12,78872,1.0,18.545730550284635,0.9006902775278922,0.6193206411863044
20151213,20.400000000000002,1.972296015180266,2015,12,13,78873,1.0,18.427703984819736,0.5701645818263751,0.392048968672804
20151214,20.400000000000002,2.0743833017077797,2015,12,14,78874,1.0,18.325616698292222,-0.29547537060790713,-0.20317083524195484
20151215,18.400000000000002,0.22106261859582688,2015,12,15,78875,1.0,18.178937381404175,-1.4443104344006015,-0.9931174862463752
20151216,15.200000000000001,-2.822201138519924,2015,12,16,78876,1.0,18.022201138519925,-2.529597632854437,-1.7393682012674474
20151217,13.200000000000001,-4.70893536121673,2015,12,17,78877,1.0,17.90893536121673,-3.216036551127319,-2.211368179069838
20151218,13.9,-3.9321904761904793,2015,12,18,78878,1.0,17.83219047619048,-3.2806147266986523,-2.2557725632397796
20151219,16.2,-1.5765267175572504,2015,12,19,78879,1.0,17.77652671755725,-2.6780578394519545,-1.8414504293480967
20151220,17.6,-0.12007648183556796,2015,12,20,78880,1.0,17.72007648183557,-1.5515113479702567,-1.0668295492986606
20151221,19.400000000000002,1.7097701149425326,2015,12,21,78881,1.0,17.69022988505747,-0.18635635772779358,-0.12813987431272936
20151222,19.900000000000002,2.2539347408829187,2015,12,22,78882,1.0,17.646065259117083,1.0762968897768188,0.7400689188218338
20151223,21.1,3.5223076923076917,2015,12,23,78883,1.0,17.57769230769231,1.938703521531604,1.3330654698755944
20151224,22.3,4.789980732177263,2015,12,24,78884,1.0,17.510019267822738,2.2280010314635414,1.5319883669189684
20151225,18.2,0.7774131274131229,2015,12,25,78885,1.0,17.422586872586876,1.9369251451713456,1.3318426464309707
20151226,17.900000000000002,0.5593810444874272,2015,12,26,78886,1.0,17.340618955512575,1.2148745645402617,0.8353558521105577
20151227,17.7,0.4556201550387584,2015,12,27,78887,1.0,17.24437984496124,0.31609825030339345,0.21735126484664885
20151228,17.3,0.15514563106795976,2015,12,28,78888,1.0,17.14485436893204,-0.4770110932405026,-0.32799600871625884
20151229,17.7,0.6791828793774286,2015,12,29,78889,1.0,17.02081712062257,-0.9313001481957728,-0.6403681923830303
20151230,17.3,0.383430799220271,2015,12,30,78890,1.0,16.91656920077973,-0.9189352983507856,-0.6318660391731744
20151231,17.8,0.9576171874999986,2015,12,31,78891,1.0,16.842382812500002,-0.4397681494292186,-0.30238751219270704
20160101,18.3,1.4574509803921565,2016,1,1,78892,1.0,16.842549019607844,0.39144476633376657,0.2691600317261601
20160102,18.900000000000002,2.0459882583170277,2016,1,2,78893,1.0,16.854011741682974,1.3850346686014168,0.9523590743955007
20160103,19.3,2.4330078125000014,2016,1,3,78894,1.0,16.8669921875,2.328721354725879,1.6012443328593704
20160104,20.6,3.7109161793372323,2016,1,4,78895,1.0,16.88908382066277,3.036706917057889,2.0880599268031257
20160105,20.700000000000003,3.8036964980544745,2016,1,5,78896,1.0,16.89630350194553,3.3854173898282705,2.327835573296483
20160106,20.900000000000002,4.035145631067962,2016,1,6,78897,1.0,16.86485436893204,3.3313010740236493,2.2906248336682644
20160107,18.8,1.9790697674418603,2016,1,7,78898,1.0,16.82093023255814,2.9112818074905844,2.0018167850526805
20160108,18.400000000000002,1.6305609284332725,2016,1,8,78899,1.0,16.76943907156673,2.2297454557494145,1.5331878446908314
20160109,18.1,1.4208494208494251,2016,1,9,78900,1.0,16.679150579150576,1.4360277437186588,0.9874222528993829
20160110,18.0,1.3836223506743721,2016,1,10,78901,1.0,16.616377649325628,0.6958527062168651,0.4784729611696162
20160111,18.1,1.5309615384615398,2016,1,11,78902,1.0,16.56903846153846,0.16042643135146564,0.1103102840196291
20160112,17.3,0.770249520153552,2016,1,12,78903,1.0,16.52975047984645,-0.06466710261367092,-0.044465530997273336
20160113,16.1,-0.4153256704980812,2016,1,13,78904,1.0,16.515325670498083,0.05312356651464906,0.036528118596169584
20160114,16.5,0.017973231357551356,2016,1,14,78905,1.0,16.48202676864245,0.45732547634127985,0.31446004726052185
20160115,15.100000000000001,-1.3845419847328273,2016,1,15,78906,1.0,16.48454198473283,1.004896422472714,0.6909734813611906
20160116,16.400000000000002,-0.10323809523809047,2016,1,16,78907,1.0,16.503238095238093,1.491130406276555,1.0253112111327218
20160117,17.8,1.276235741444868,2016,1,17,78908,1.0,16.523764258555133,1.695550785772776,1.1658720272754572
20160118,15.200000000000001,-1.3187855787476277,2016,1,18,78909,1.0,16.51878557874763,1.4404075392795055,0.9904338295341985
20160119,16.400000000000002,-0.09203036053130731,2016,1,19,78910,1.0,16.49203036053131,0.6471826468576664,0.44500710379226593
20160120,15.5,-0.9656546489563596,2016,1,20,78911,1.0,16.46565464895636,-0.6260375862757437,-0.43046761912783416
20160121,16.1,-0.33889943074003526,2016,1,21,78912,1.0,16.438899430740037,-2.1803904118824335,-1.499250987398031
20160122,14.100000000000001,-2.343833017077799,2016,1,22,78913,1.0,16.4438330170778,-3.7123905920535236,-2.5526645276054873
20160123,8.5,-7.973244781783684,2016,1,23,78914,1.0,16.473244781783684,-4.8856124681079205,-3.359379713347355
20160124,4.9,-11.598671726755219,2016,1,24,78915,1.0,16.49867172675522,-5.419983063352996,-3.7268164981504848
20160125,7.4,-9.129411764705884,2016,1,25,78916,1.0,16.529411764705884,-5.172995002064718,-3.556985860139983
20160126,10.4,-6.1347248576850095,2016,1,26,78917,1.0,16.53472485768501,-4.187981691718807,-2.879684139270033
20160127,13.0,-3.550284629981025,2016,1,27,78918,1.0,16.550284629981025,-2.692628936824881,-1.8514696130707824
20160128,16.1,-0.4791271347248589,2016,1,28,78919,1.0,16.57912713472486,-1.0444989373173024,-0.718204434662317
20160129,16.6,-0.03301707779885632,2016,1,29,78920,1.0,16.633017077798858,0.3627664113155544,0.24944060357068343
20160130,17.6,0.903795066413668,2016,1,30,78921,1.0,16.696204933586333,1.20637217097911,0.8295095495987072
20160131,15.700000000000001,-1.0425047438330157,2016,1,31,78922,1.0,16.742504743833017,1.3236770313732409,0.9101691538668495
20160201,12.4,-4.356356736242885,2016,2,1,78923,1.0,16.756356736242886,0.7576633874082341,0.5209743977485355
20160202,10.4,-6.363187855787478,2016,2,2,78924,1.0,16.76318785578748,-0.2554996673008006,-0.17568327506535017
20160203,12.5,-4.265085388994308,2016,2,3,78925,1.0,16.765085388994308,-1.3535919554385898,-0.9307388551453423
20160204,15.200000000000001,-1.5314990512333946,2016,2,4,78926,1.0,16.731499051233396,-2.1510578269648657,-1.4790817064009492
20160205,14.8,-1.905313092979128,2016,2,5,78927,1.0,16.70531309297913,-2.3477283877620057,-1.6143136955256268
20160206,13.600000000000001,-3.0981024667931685,2016,2,6,78928,1.0,16.69810246679317,-1.8119858658967054,-1.2459335648295777
20160207,13.700000000000001,-3.034155597722963,2016,2,7,78929,1.0,16.734155597722964,-0.6157428232598718,-0.4233888714262932
20160208,14.8,-1.9986717267552159,2016,2,8,78930,1.0,16.798671726755217,0.9872677959294058,0.6788519201914606
20160209,16.7,-0.1719165085388994,2016,2,9,78931,1.0,16.8719165085389,2.632590975795336,1.8101871106967247
20160210,16.6,-0.35825426944971284,2016,2,10,78932,1.0,16.958254269449714,3.9438628213056033,2.7118263760387653
20160211,18.8,1.7491461100569268,2016,2,11,78933,1.0,17.050853889943074,4.630868821761428,3.1842162833318013
20160212,19.200000000000003,2.055028462998102,2016,2,12,78934,1.0,17.1449715370019,4.559930362542069,3.135438525711184
20160213,23.1,5.875521821631878,2016,2,13,78935,1.0,17.224478178368123,3.7788967160778864,2.5983945819884813
20160214,21.700000000000003,4.37153700189754,2016,2,14,78936,1.0,17.328462998102463,2.4929888023993456,1.7141957253162723
20160215,13.200000000000001,-4.221631878557874,2016,2,15,78937,1.0,17.421631878557875,1.001923957022006,0.6889295942950514
20160216,12.8,-4.708159392789376,2016,2,16,78938,1.0,17.508159392789377,-0.3813066643980316,-0.262189005228034
20160217,12.9,-4.693358633776091,2016,2,17,78939,1.0,17.59335863377609,-1.407615001883836,-0.9678854621400772
20160218,13.700000000000001,-4.002277039848201,2016,2,18,78940,1.0,17.7022770398482,-1.9452082388323348,-1.3375381568690428
20160219,15.3,-2.4870967741935495,2016,2,19,78941,1.0,17.78709677419355,-1.9972639715596938,-1.3733320258320976
20160220,16.0,-1.8464895635673635,2016,2,20,78942,1.0,17.846489563567363,-1.6833232789542718,-1.157464312046499
20160221,15.0,-2.87134724857685,2016,2,21,78943,1.0,17.87134724857685,-1.1930180996916009,-0.8203272011282345
20160222,16.1,-1.7897533206831149,2016,2,22,78944,1.0,17.889753320683116,-0.7261994939258738,-0.49933961476942246
20160223,15.5,-2.415180265654648,2016,2,23,78945,1.0,17.915180265654648,-0.4353370078402004,-0.2993406296865138
20160224,13.700000000000001,-4.24648956356736,2016,2,24,78946,1.0,17.94648956356736,-0.3854270812364819,-0.2650222313236325
20160225,14.8,-3.205692599620491,2016,2,25,78947,1.0,18.00569259962049,-0.5401923573458443,-0.3714398672467176
20160226,15.200000000000001,-2.8922201138519927,2016,2,26,78948,1.0,18.092220113851994,-0.7767158588551928,-0.5340750041690914
20160227,15.5,-2.6660341555977247,2016,2,27,78949,1.0,18.166034155597725,-0.9244687267051206,-0.6356708614099272
20160228,16.6,-1.6523719165085389,2016,2,28,78950,1.0,18.25237191650854,-0.8178768219563246,-0.562377556884111
20160229,18.5,0.24933586337761326,2016,2,29,78951,1.0,18.250664136622387,-0.34920395220119504,-0.24011496624081008
20160301,16.5,-1.8430740037950635,2016,3,1,78952,1.0,18.343074003795063,0.4919052374579895,0.33823732160354
20160302,16.6,-1.843453510436433,2016,3,2,78953,1.0,18.443453510436434,1.603044511741757,1.1022640963628552
20160303,18.7,0.11935483870967545,2016,3,3,78954,1.0,18.580645161290324,2.783041352660351,1.9136377931249877
20160304,20.200000000000003,1.4667931688804572,2016,3,4,78955,1.0,18.733206831119546,3.7737545538777053,2.5948587969685284
20160305,20.8,1.921252371916509,2016,3,5,78956,1.0,18.87874762808349,4.32139318976327,2.9714187749955343
20160306,21.8,2.797722960151802,2016,3,6,78957,1.0,19.0022770398482,4.242816246151306,2.9173887445684383
20160307,19.700000000000003,0.5578747628083534,2016,3,7,78958,1.0,19.14212523719165,3.4790852269341754,2.3922422027253956
20160308,20.1,0.8481973434535099,2016,3,8,78959,1.0,19.25180265654649,2.1213386844588644,1.458646625828256
20160309,20.8,1.472485768500949,2016,3,9,78960,1.0,19.327514231499052,0.4003289250026092,0.27526883847190414
20160310,13.4,-5.985009487666035,2016,3,10,78961,1.0,19.385009487666036,-1.3604770548042178,-0.9354730953832359
20160311,11.9,-7.559772296015177,2016,3,11,78962,1.0,19.459772296015178,-2.8182761406677237,-1.9378654683261491
20160312,13.600000000000001,-5.953130929791271,2016,3,12,78963,1.0,19.553130929791273,-3.6925791949163984,-2.5390420788193886
20160313,15.8,-3.8250474383301736,2016,3,13,78964,1.0,19.625047438330174,-3.8339900754874527,-2.6362771433149894
20160314,15.3,-4.41271347248577,2016,3,14,78965,1.0,19.71271347248577,-3.261411809549706,-2.2425685093512726
20160315,14.8,-5.008538899430743,2016,3,15,78966,1.0,19.808538899430744,-2.1566820708106444,-1.4829489739752324
20160316,15.3,-4.590512333965844,2016,3,16,78967,1.0,19.890512333965845,-0.8177346510233644,-0.562279799202524
20160317,16.5,-3.459392789373819,2016,3,17,78968,1.0,19.95939278937382,0.4171969377747524,0.2868673965403396
20160318,19.5,-0.521062618595824,2016,3,18,78969,1.0,20.021062618595824,1.253788153654399,0.8621130954852446
20160319,22.400000000000002,2.3028462998102484,2016,3,19,78970,1.0,20.097153700189754,1.5109417270343413,1.038933607399878
20160320,19.0,-1.1673624288425053,2016,3,20,78971,1.0,20.167362428842505,1.1575169286246563,0.7959163591589052
20160321,17.1,-3.138140417457304,2016,3,21,78972,1.0,20.238140417457306,0.3086118240758493,0.2122035482484834
20160322,16.6,-3.71783681214421,2016,3,22,78973,1.0,20.31783681214421,-0.8147972765574053,-0.5602600409315065
20160323,18.400000000000002,-2.0189753320683117,2016,3,23,78974,1.0,20.418975332068314,-1.9490496218218212,-1.3401795174293238
20160324,15.3,-5.255787476280833,2016,3,24,78975,1.0,20.555787476280834,-2.8546669259393247,-1.9628880149550962
20160325,13.700000000000001,-7.000948766603409,2016,3,25,78976,1.0,20.70094876660341,-3.367714542576751,-2.3156629774728374
20160326,15.8,-5.060721062618597,2016,3,26,78977,1.0,20.860721062618598,-3.423947891056181,-2.354329402885934
20160327,17.3,-3.730929791271347,2016,3,27,78978,1.0,21.030929791271348,-3.0542594852902045,-2.1001291897710135
20160328,16.900000000000002,-4.2647058823529385,2016,3,28,78979,1.0,21.16470588235294,-2.3581824994354044,-1.621502012426718
