yyyymmdd,data,ano,year,month,day,time,time_difference,ltm
20160101,18.3,1.4574509803921565,2016,1,1,78892,1.0,16.842549019607844
20160102,18.900000000000002,2.0459882583170277,2016,1,2,78893,1.0,16.854011741682974
20160103,19.3,2.4330078125000014,2016,1,3,78894,1.0,16.8669921875
20160104,20.6,3.7109161793372323,2016,1,4,78895,1.0,16.88908382066277
20160105,20.700000000000003,3.8036964980544745,2016,1,5,78896,1.0,16.89630350194553
20160106,20.900000000000002,4.035145631067962,2016,1,6,78897,1.0,16.86485436893204
20160107,18.8,1.9790697674418603,2016,1,7,78898,1.0,16.82093023255814
20160108,18.400000000000002,1.6305609284332725,2016,1,8,78899,1.0,16.76943907156673
20160109,18.1,1.4208494208494251,2016,1,9,78900,1.0,16.679150579150576
20160110,18.0,1.3836223506743721,2016,1,10,78901,1.0,16.616377649325628
20160111,18.1,1.5309615384615398,2016,1,11,78902,1.0,16.56903846153846
20160112,17.3,0.770249520153552,2016,1,12,78903,1.0,16.52975047984645
20160113,16.1,-0.4153256704980812,2016,1,13,78904,1.0,16.515325670498083
20160114,16.5,0.017973231357551356,2016,1,14,78905,1.0,16.48202676864245
20160115,15.100000000000001,-1.3845419847328273,2016,1,15,78906,1.0,16.48454198473283
20160116,16.400000000000002,-0.10323809523809047,2016,1,16,78907,1.0,16.503238095238093
20160117,17.8,1.276235741444868,2016,1,17,78908,1.0,16.523764258555133
20160118,15.200000000000001,-1.3187855787476277,2016,1,18,78909,1.0,16.51878557874763
20160119,16.400000000000002,-0.09203036053130731,2016,1,19,78910,1.0,16.49203036053131
20160120,15.5,-0.9656546489563596,2016,1,20,78911,1.0,16.46565464895636
20160121,16.1,-0.33889943074003526,2016,1,21,78912,1.0,16.438899430740037
20160122,14.100000000000001,-2.343833017077799,2016,1,22,78913,1.0,16.4438330170778
20160123,8.5,-7.973244781783684,2016,1,23,78914,1.0,16.473244781783684
20160124,4.9,-11.598671726755219,2016,1,24,78915,1.0,16.49867172675522
20160125,7.4,-9.129411764705884,2016,1,25,78916,1.0,16.529411764705884
20160126,10.4,-6.1347248576850095,2016,1,26,78917,1.0,16.53472485768501
20160127,13.0,-3.550284629981025,2016,1,27,78918,1.0,16.550284629981025
20160128,16.1,-0.4791271347248589,2016,1,28,78919,1.0,16.57912713472486
20160129,16.6,-0.03301707779885632,2016,1,29,78920,1.0,16.633017077798858
20160130,17.6,0.903795066413668,2016,1,30,78921,1.0,16.696204933586333
20160131,15.700000000000001,-1.0425047438330157,2016,1,31,78922,1.0,16.742504743833017
